15987,Abyss Actor - Funky Comedian,99634927,Monster,DARK,1,Fiend/Pendulum/Effect,300/200,"If this card is Normal or Special Summoned: You can make this card gain 300 ATK for each ""Abyss Actor"" monster you currently control, until the end of this turn. You can target 1 other ""Abyss Actor"" monster you control; it gains ATK equal to this card's current ATK, until the end of this turn. This card cannot attack the turn this effect is activated. You can only use this effect of ""Abyss Actor - Funky Comedian"" once per turn.",Abyss Actor,"","",8/8,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Actor"" monster you control; it gains ATK equal to the original ATK of the Tributed monster, until the end of this turn (even if this card leaves the field)."
15988,Abyss Actor - Leading Lady,24907044,Monster,DARK,4,Fiend/Pendulum/Effect,1500/1000,"Once per turn, when battle damage is inflicted: You can target 1 face-up monster your opponent controls; it loses ATK equal to that battle damage. When this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck.",Abyss Actor,"","",2/2,"Once per turn, when you take battle damage from an opponent's attacking monster: You can activate 1 of these effects;● That opponent's monster loses ATK equal to the damage you took (even if this card leaves the field).● Add 1 face-up ""Abyss Actor"" Pendulum Monster from your Extra Deck to your hand with ATK less than or equal to the damage you took."
15989,Abyss Actor - Sassy Rookie,51028231,Monster,DARK,4,Fiend/Pendulum/Effect,1700/1000,"The first time this card would be destroyed by battle or card effect each turn, it is not destroyed. If this card is destroyed by battle, or if this card in its owner's Monster Zone is destroyed by an opponent's card effect: You can Special Summon 1 Level 4 or lower ""Abyss Actor"" monster from your Deck, except ""Abyss Actor - Sassy Rookie"". If this card in the Pendulum Zone is destroyed: You can target 1 Level 4 or lower monster your opponent controls; destroy it.",Abyss Actor,"","",2/2,"If an ""Abyss Actor"" monster(s) you control would be destroyed by battle or an opponent's card effect, you can destroy this card instead."
15990,Abyss Actor - Superstar,25629622,Monster,DARK,7,Fiend/Pendulum/Effect,2500/1800,"When Normal or Special Summoned, your opponent's Spell/Trap Cards and effects cannot be activated. Once per turn: You can Set 1 ""Abyss Script"" Spell Card directly from your Deck, but it is sent to the Graveyard during the End Phase.",Abyss Actor,"","",3/3,"Once per turn: You can Tribute 1 ""Abyss Actor"" monster, then target 1 ""Abyss Script"" Spell Card in your Graveyard; add it to your hand."
15991,Abyss Actor - Twinkle Littlestar,07279373,Monster,DARK,4,Fiend/Pendulum/Effect,1000/1000,Cannot be destroyed by battle during your turn. This card can make a second and third attack on monsters during each Battle Phase.,Abyss Actor,"","",9/9,"You cannot Pendulum Summon monsters, except ""Abyss Actor"" monsters. This effect cannot be negated. Once per turn: You can target 1 ""Abyss Actor"" monster you control; this turn, it can make a second and third attack on monsters during each Battle Phase, also other monsters you control cannot attack (even if this card leaves the field)."
15992,Abyss Actor - Wild Hope,51391183,Monster,DARK,4,Fiend/Pendulum/Effect,1600/1200,"Once per turn: You can make this card gain 100 ATK for each ""Abyss Actor"" monster you currently control with different names, until the end of this turn. If this card is destroyed by battle or card effect: You can add 1 ""Abyss Actor"" card from your Deck to your hand, except ""Abyss Actor - Wild Hope"". You can only use this effect of ""Abyss Actor - Wild Hope"" once per turn.","Abyss Actor, Utopic","","",2/2,"Once per turn: You can target 1 ""Abyss Actor"" card in your other Pendulum Zone; its Pendulum Scale becomes 9 until the end of this turn, also you cannot Special Summon monsters for the rest of this turn, except ""Abyss Actor"" monsters (even if this card leaves the field)."
15993,Abyss Dweller,21044178,Monster,WATER,4,Sea Serpent/Xyz/Effect,1700/1400,2 Level 4 monsters,"While this card has an Xyz Material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; any card effects that activate in your opponent's Graveyard cannot be activated this turn.","","","",""
15994,Abyss Flower,40387124,Monster,EARTH,2,Plant/Normal,750/400,A rarely seen flower that blossoms quietly on the edge of darkness.,"","","","",""
15995,Abyss Soldier,18318842,Monster,WATER,4,Aqua/Effect,1800/1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Abyss-,"","","",""
15996,Abyss Warrior,88409165,Monster,WATER,4,Aqua/Effect,1800/1300,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.","Abyss-, Warrior","","","",""
15997,Abyssal Kingshark,44223284,Monster,WATER,4,Fish/Effect,1700/600,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.","","","","",""
15998,Accel Synchron,37675907,Monster,DARK,5,Machine/Synchro/Tuner/Effect,500/2100,"Once per turn: You can send 1 ""Synchron"" monster from your Deck to the Graveyard, then activate 1 of these effects;
● Increase this card's Level by the Level of the sent monster.
● Reduce this card's Level by the Level of the sent monster.During your opponent's Main Phase, you can: Immediately after this effect resolves, Synchro Summon 1 Synchro Monster, using Materials including this card you control (this is a Quick Effect). You can only Synchro Summon ""Accel Synchron(s)"" once per turn.",Synchron,"",1 Tuner + 1 or more non-Tuner monsters,"",""
15999,Achacha Archer,98865920,Monster,FIRE,3,Warrior/Effect,1200/600,When this card is Normal or Flip Summoned: Inflict 500 damage to your opponent.,"","","","",""
16000,Achacha Chanbara,62476197,Monster,FIRE,3,Warrior/Effect,1400/400,"During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent.","","","","",""
16001,Acid Crawler,77568553,Monster,EARTH,3,Insect/Normal,900/700,A giant caterpillar that secretes an acid mist that melts anything.,"","","","",""
16002,Acorno,21051977,Monster,EARTH,1,Plant/Effect,200/400,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand.","","","","",""
16003,Acrobat Monkey,47372349,Monster,EARTH,3,Machine/Normal,1000/1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,"","","","",""
16004,Acrobatic Magician,33656832,Monster,DARK,5,Spellcaster/Pendulum/Effect,800/2300,If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.,Magician,"","",2/2,"When a monster(s) you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Acrobatic Magician"" once per turn."
16005,Adhesive Explosive,53828396,Monster,WIND,3,Machine/Effect,1000/1000,"Before damage calculation, if this card was attacked by your opponent's monster and was in face-down Defense Position card at the start of Damage Step: Equip this card to the attacking monster. Then, during your opponent's next Standby Phase, destroy the monster this card is equipped to.","","","","",""
16006,"Adreus, Keeper of Armageddon",94119480,Monster,DARK,5,Fiend/Xyz/Effect,2600/1700,Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.,Keeper,"",2 Level 5 monsters,"",""
16007,Aegaion the Sea Castrum,10678778,Monster,WATER,8,Machine/Xyz/Effect,?/3000,2 Level 8 monsters,"During either player's turn: You can banish 1 random face-down monster from your opponent's Extra Deck, face-up, and if you do, this card's ATK becomes equal to the banished monster's. During either player's turn: You can detach 1 Xyz Material from this card, then target 1 of your opponent's banished Fusion, Synchro, or Xyz Monsters; return it to the Extra Deck, and if you do, destroy 1 monster your opponent controls with the same monster card type (Fusion, Synchro, or Xyz). You can only use each effect of ""Aegaion the Sea Castrum"" once per turn.","","","",""
16008,"Aether, the Empowering Dragon",56804361,Monster,LIGHT,6,Dragon/Effect,2300/1600,"When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn.","Aether, Empower","","","",""
16009,"Aether, the Evil Empowering Dragon",28865322,Monster,DARK,6,Dragon/Pendulum/Effect,2300/1600,When this card is Normal or Special Summoned: You can target 1 monster on the field; banish it.,"Aether, Empower","","",4/4,"Once per turn: You can banish 1 ""Empowered Warrior"" monster from your Graveyard, then target 1 card on the field; destroy it."
16010,"Aggiba, the Malevolent Sh'nn S'yo",None,Monster,LIGHT,10,Fiend/Effect,3000/3000,"This card cannot be Special Summoned. To Tribute Summon this card you must Tribute 3 Fiend-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match.",Match winner,"","","",""
16011,Agido,16135253,Monster,EARTH,4,Fairy/Effect,1500/1300,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)","","","","",""
16012,Air Armor Ninja,69023354,Monster,WIND,4,Warrior/Effect,1400/1400,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1.","Armor Ninja, Ninja","","","",""
16013,Air Eater,08353769,Monster,WIND,6,Fiend/Normal,2100/1600,"A monster that feeds on oxygen, suffocating any who stand near.","","","","",""
16014,Airknight Parshath,18036057,Monster,LIGHT,5,Fairy/Effect,1900/1400,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card.",Parshath,"","","",""
16015,Airorca,84747429,Monster,WIND,3,Sea Serpent/Effect,1400/300,"Once per turn: You can banish 1 Fish, Sea Serpent, or Aqua-Type monster from your hand, then target 1 face-up card your opponent controls; destroy that target, then banish this card until your next Standby Phase.","","","","",""
16016,Aitsu,48202661,Monster,FIRE,5,Fairy/Normal,100/100,"He seems to be very unreliable, but he might have incredible potential.",itsu,"","","",""
16017,Akakieisu,38035986,Monster,DARK,3,Spellcaster/Normal,1000/800,A sorcerer who utters spells that render monsters unconscious.,"","","","",""
16018,Akihiron,36904469,Monster,WATER,5,Aqua/Normal,1700/1400,"This strange creature hides in the deep, dark corners of the seven seas.","","","","",""
16019,"Akz, the Pumer",38837163,Monster,EARTH,6,Beast-Warrior/Effect,1500/1000,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster from your hand to activate 1 of the following effects:
● Double this card's ATK until the End Phase.
● This card can attack your opponent directly this turn.","","","","",""
16020,Al-Lumi'raj,25795273,Monster,WIND,3,Wyrm/Tuner/Effect,1600/1000,All monsters on the field lose ATK and DEF equal to their own Level/Rank x 300.,"","","","",""
16021,Alchemic Magician,65301952,Monster,DARK,4,Spellcaster/Xyz/Effect,1500/1500,3 Level 4 Spellcaster-Type monsters,"This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone.","","","",""
16022,Alchemist of Black Spells,78121572,Monster,WIND,4,Spellcaster/Effect,1200/1800,"Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.","","","","",""
16023,"Alector, Sovereign of Birds",17573739,Monster,WIND,6,Winged Beast/Effect,2400/2000,"If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up ""Alector, Sovereign of Birds"" on the field.","","","","",""
16024,Aleister the Invoker,86120751,Monster,DARK,4,Spellcaster/Effect,1000/1800,"During either player's turn: You can send this card from your hand to the Graveyard, then target 1 Fusion Monster you control; it gains 1000 ATK and DEF until the end of this turn. If this card is Normal Summoned or flipped face-up: You can add 1 ""Invocation"" from your Deck to your hand.",Invoked,"","","",""
16025,Alexandrite Dragon,43096270,Monster,LIGHT,4,Dragon/Normal,2000/100,"Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.",Gem Dragon,"","","",""
16026,"Alich, Malebranche of the Burning Abyss",47728740,Monster,DARK,3,Fiend/Effect,1200/0,"If you control a monster that is not a ""Burning Abyss"" monster, destroy this card. You can only use 1 of these effects of ""Alich, Malebranche of the Burning Abyss"" per turn, and only once that turn.
● If you control no Spell/Trap Cards: You can Special Summon this card from your hand.
● If this card is sent to the Graveyard: You can target 1 face-up monster on the field; negate its effects until the end of this turn.",Burning Abyss,"","","",""
16027,Alien Ammonite,00652362,Monster,LIGHT,1,Reptile/Tuner,500/200,"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""Alien"" monster from your Graveyard. Destroy it during the End Phase.",Alien,"","","",""
16028,Alien Dog,15475415,Monster,LIGHT,3,Reptile/Effect,1500/1000,"When you Normal Summon an ""Alien"" monster, you can Special Summon this card from your hand. When you do, place 2 ""A-Counters"" on face-up monster(s) your opponent controls.",Alien,"","","",""
16029,Alien Grey,62437709,Monster,LIGHT,2,Reptile/Effect,300/800,"FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card.",Alien,"","","",""
16030,Alien Hunter,62315111,Monster,WATER,4,Reptile/Effect,1600/800,"If this card destroys a monster with an A-Counter by battle, it can attack once again in a row.",Alien,"","","",""
16031,Alien Hypno,38468214,Monster,WATER,4,Reptile/Gemini,1600/700,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect:
● During your Main Phase, you can select 1 monster your opponent controls with an A-Counter(s), and take control of it while this card is on the field. During each of your End Phases, remove 1 A-Counter from each controlled monster. If all A-Counters are removed from one of these monsters, destroy it.",Alien,"","","",""
16032,Alien Infiltrator,76573247,Monster,EARTH,2,Reptile/Effect,800/500,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly.","Alien, Senet","","","",""
16033,Alien Kid,64160836,Monster,LIGHT,4,Reptile/Effect,1600/700,"Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",Alien,"","","",""
16034,Alien Mars,99532708,Monster,FIRE,3,Reptile/Effect,1000/1000,"The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars"".",Alien,"","","",""
16035,Alien Mother,24104865,Monster,DARK,6,Reptile/Effect,2300/1500,"If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.",Alien,"","","",""
16036,Alien Overlord,63253763,Monster,DARK,6,Reptile/Effect,2200/1600,"You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 face-up ""Alien Overlord"".",Alien,"","","",""
16037,Alien Psychic,58012107,Monster,DARK,1,Reptile/Effect,200/100,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.,Alien,"","","",""
16038,Alien Shocktrooper,97127906,Monster,EARTH,4,Reptile/Normal,1900/800,"The Aliens have used a mysterious biological substance to create a supreme race of soldiers. They do not have the natural powers of the other Aliens, but can make stunning physical attacks.",Alien,"","","",""
16039,Alien Skull,25920413,Monster,WIND,4,Reptile/Effect,1600/1800,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon the monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",Alien,"","","",""
16040,Alien Telepath,91070115,Monster,FIRE,4,Reptile/Effect,1600/1000,"Once per turn, you can remove 1 A-Counter from a monster your opponent controls, and destroy 1 Spell or Trap Card. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)",Alien,"","","",""
16041,Alien Warrior,98719226,Monster,EARTH,4,Reptile/Effect,1800/1000,"When this card is destroyed by battle and sent to the Graveyard, place 2 A-Counters on the monster that destroyed it. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)","Alien, Warrior","","","",""
16042,Alinsection,70924884,Monster,EARTH,3,Insect/Normal,950/700,A stag beetle with saw-like head and arms.,"","","","",""
16043,The All-Seeing White Tiger,32269855,Monster,WIND,3,Beast/Normal,1300/500,A proud ruler of the jungle that some fear and others respect.,"","","","",""
16044,Alligator's Sword,64428736,Monster,EARTH,4,Beast/Normal,1500/1200,"'ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!","","","","",""
16045,Alligator's Sword Dragon,03366982,Monster,WIND,5,Dragon/Fusion/Effect,1700/1500,"""Baby Dragon"" + ""Alligator's Sword""","This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE.","","","",""
16046,Allure Queen LV3,87257460,Monster,DARK,3,Spellcaster/Effect,500/500,"Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV5"" from your hand or Deck.","Allure Queen, LV","","","",""
16047,Allure Queen LV5,23756165,Monster,DARK,5,Spellcaster/Effect,1000/1000,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV3"", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV7"" from your hand or Deck.","Allure Queen, LV","","","",""
16048,Allure Queen LV7,50140163,Monster,DARK,7,Spellcaster/Effect,1500/1500,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead.","Allure Queen, LV","","","",""
16049,Ally Mind,40155554,Monster,DARK,5,Machine/Tuner,1800/1400,"A high-performance unit developed to enhance the Artificial Intelligence program of the Allies of Justice. Loaded with elements collected from a meteor found in the Worm Nebula, it allows for highly tuned performance. But its full capacity is not yet determined.","","","","",""
16050,Ally Salvo,59482302,Monster,DARK,2,Machine/Effect,400/300,"When this card is destroyed by battle with a LIGHT monster and sent to the Graveyard, select 2 cards on the field and destroy them.","","","","",""
16051,Ally of Justice Catastor,26593852,Monster,DARK,5,Machine/Synchro/Effect,2200/1200,"At the start of the Damage Step, if this card battles a non-DARK monster: Destroy that monster.",Ally of Justice,"",1 Tuner + 1 or more non-Tuner monsters,"",""
16052,Ally of Justice Clausolas,89386122,Monster,DARK,6,Machine/Normal,2300/1200,"A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solais. Its surprise attacks from above baffle invaders.",Ally of Justice,"","","",""
16053,Ally of Justice Core Destroyer,36629203,Monster,DARK,3,Machine/Effect,1200/200,"If this card attacks or is attacked by a LIGHT monster, destroy that monster at the start of the Damage Step (without damage calculation).",Ally of Justice,"","","",""
16054,Ally of Justice Cosmic Gateway,08822710,Monster,DARK,8,Machine/Effect,2400/1200,"If your opponent controls 2 or more monsters, including a LIGHT monster, you can Special Summon this card from your hand.",Ally of Justice,"","","",""
16055,Ally of Justice Cycle Reader,08233522,Monster,DARK,3,Machine/Tuner,1000/1000,"During either player's turn: You can discard this card to the Graveyard, then target up to 2 LIGHT monsters in your opponent's Graveyard; banish those targets.",Ally of Justice,"","","",""
16056,Ally of Justice Cyclone Creator,45586855,Monster,DARK,3,Machine/Tuner,1400/1200,"Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.",Ally of Justice,"","","",""
16057,Ally of Justice Decisive Armor,09888196,Monster,DARK,10,Machine/Synchro/Effect,3300/3300,"1 Tuner + 2 or more non-Tuner monsters Once per turn, if your opponent controls a face-up LIGHT monster(s), you can activate 1 of these effects:
● Select 1 Set card your opponent controls and destroy it.
● Send 1 card from your hand to the Graveyard to destroy all Spell/Trap Cards your opponent controls.
● Send all cards in your hand to the Graveyard to look at your opponent's hand and send all LIGHT monsters in their hand to the Graveyard. Then, inflict damage to your opponent equal to the total ATK of the opponent's monsters sent to the Graveyard.",Ally of Justice,"",1 Tuner + 2 or more non-Tuner monsters.,"",""
16058,Ally of Justice Enemy Catcher,45033006,Monster,DARK,6,Machine/Effect,1800/1800,"When this card is Normal Summoned, you can take control of 1 face-down Defense Position monster your opponent controls, until the End Phase of this turn.",Ally of Justice,"","","",""
16059,Ally of Justice Field Marshal,69461394,Monster,DARK,9,Machine/Synchro/Effect,2900/2600,"This card cannot be Special Summoned except by Synchro Summon. When this card destroys a face-down Defense Position monster by battle and sends it to the Graveyard, draw 1 card.",Ally of Justice,"",1 Tuner + 2 or more non-Tuner monsters,"",""
16060,Ally of Justice Garadholg,25771826,Monster,DARK,4,Machine/Effect,1600/400,"If this card battles a LIGHT monster, it gains 200 ATK during the Damage Step only.",Ally of Justice,"","","",""
16061,Ally of Justice Light Gazer,19204398,Monster,DARK,8,Machine/Synchro/Effect,2400/1600,This card gains 200 ATK for each LIGHT monster in your opponent's Graveyard.,Ally of Justice,"",1 Tuner + 1 or more non-Tuner monsters,"",""
